Title,Name,Specialty,Academic,City
dr,"Aleksandra Bubera",psihijatar,,
dr,Aca Stevanović,spec. ORL,,
dr,Aco Baković,spec. psihijatrije,,
dr,Adela Almažan,,,
dr,Adem Đerlek,specijalizant ortopedije vilica,,
dr,Adis Dulić,specijalizant ortopedije vilica,,
dr,Agota Čuzdi,,,
dr,Ajsela Delić,dr stomatologije,,
dr,Aladin Dedeić,doktor medicine,,
Prim. dr sc. med.,Aleksandar Aleksić,Internista-endokrinolog,,
dr,Aleksandar Antić,,,
dr,Aleksandar Argirović,,,
dr,Aleksandar Babić,,,
dr,Aleksandar Bogdanović,,,
dr,Aleksandar Bogićević,specijalizant traumatologije,,"Maribor, Slovenija"
dr,Aleksandar Brzaković,spec. radiologije,,
dr,Aleksandar Čeković,stomatolog,,Čačak
dr,Aleksandar Ćirić,,,
Doc.dr,Aleksandar Cvetković,Specijalista opšte hirurgije,,
dr,Aleksandar Đenić,internista-kardiolog,,
Prim. dr,Aleksandar Dukić,ginekolog,,
dr,Aleksandar Džakula,neurolog,,
dr,Aleksandar Erčević,spec. urgentne medicine,,
dr,Aleksandar Eremić,,,
dr,Aleksandar Filipović,doktor stomatologije,,
dr,Aleksandar Gaković,oftalmolog,,
dr,Aleksandar Gvozdenović,spec. urgentne medicine,,
dr,Aleksandar H. Ilijev,specijalista dečje hirurgije,,
dr,Aleksandar Ignjatović,,,
dr,Aleksandar Isaković,radiolog,,
dr,Aleksandar Ivković,specijalista radiologije,,
dr,Aleksandar Jelić,specijalista opšte medicine,,
dr,Aleksandar Ješić,neurolog,,
Mr sci. med. dr,Aleksandar Kojić,specijalista ortopedije sa traumatologijom,,
dr,Aleksandar Kovač,spec. interne medicine,,
dr,Aleksandar Kovačević,stomatolog,,
dr,Aleksandar Lazić,lekar iz dijaspore,,
dr,Aleksandar Lazić,hirurg,,
dr,Aleksandar Lukić,,,
Doc.dr,Aleksandar M. Ivanovic,radiolog,,
dr,Aleksandar M. Pantelić,anesteziolog,,
dr,Aleksandar Mahov,spec. stomatološke protetike,,
dr,Aleksandar Marinković,specijalizant opšte hirurgije,,
dr,Aleksandar Milojević,,,
dr,Aleksandar Milojković,opšti hirurg,,
dr,Aleksandar Milosavljević,spec. interne medicine,,
Prof. dr sc. ,Aleksandar Milošević,urolog,,
dr,Aleksandar Mirković,spec. sportske medicine,,
Prof. dr,Aleksandar N. Nešković,,"redovni profesor interne medicine, Medicinski fakultet u Beogradu",
dr,Aleksandar Nikolic,spec.interne medicine,,
dr,Aleksandar Nježić,doktor stomatologije,,
dr,Aleksandar Pavlović,,,
Prof. dr,Aleksandar Perić,otorinolaringolog,,
dr,Aleksandar Petrović,stomatolog,,
dr,Aleksandar Radosavljević,ortoped,,
dr,Aleksandar Radovanović,,,
dr,Aleksandar Ragaji,,,
Prim. dr,Aleksandar Ramah,spec. psihijatrije,,
dr,Aleksandar Rangelov,ortoped,,Leskovac
dr,Aleksandar Simić,,,
dr,Aleksandar Simić,specijalista opšte hirurgije,,
dr,Aleksandar Škorić,stomatolog,,
dr,Aleksandar Spasić,urolog,,
dr,Aleksandar Stanković,,,
dr,Aleksandar Stričević,stomatolog u penziji,,
dr,Aleksandar Strijelić,,,
dr,Aleksandar Tadić,,,
dr,Aleksandar Tufegdžić,spec. opšte medicine,,
dr,Aleksandar Vojvodić,ortoped,,Beograd
mr sci. med. dr,Aleksandar Vujisić,gerontolog,,
dr,Aleksandar Vulović,spec. oralne hirurgije,,
dr,Aleksandra Andrić,spec. fizikalne medicine i rehabilitacije,,
dr,Aleksandra Bibić,,,
dr,Aleksandra Branković,,,
dr,Aleksandra C. Erdeljanović,spec. ortopedije vilica,,
dr,Aleksandra Cakić,specijalista pedijatrije,,
dr,Aleksandra Danilović,,,
dr,Aleksandra Dašić,specijalizant interne medicine,,
dr,Aleksandra Džuverović,na specijalizaciji iz Urgentne medicine,,
dr,Aleksandra Eger,spec. oftalmologije,,
dr,Aleksandra Fejsa Levakov,patolog,,
dr,Aleksandra Franic,spec.psihijatrije,,
dr,Aleksandra Gavrić,,,
dr,Aleksandra Havran,,,
dr,Aleksandra Jakulić,spec. fizikalne medicine i rehabilitacije,,
dr,Aleksandra Jančić,specijalizant radiologije,,
dr,Aleksandra Janković,spec. radiologije,,
dr,Aleksandra Janković,stomatolog,,
dr,Aleksandra Jević-Ivanović,endokrinolog,,
dr,Aleksandra Jovanović,spec. fizijatar,,
Prof. dr,Aleksandra Jović-Vraneš,,,
dr,Aleksandra Kadić,,,
dr,Aleksandra Karadžov Nikolić,,,
Doc. dr,Aleksandra Lovrenski,"specijalista patolog, subspecijalista citolog",,
dr,Aleksandra Marinković,,,
dr,Aleksandra Milićević Kalašić,,,
dr,Aleksandra Milovanović,anesteziolog,,
dr,Aleksandra Nedić,neuropsihijatar,,Novi Sad
Mr sci. dr,Aleksandra Opačić,specijalista urgentne medicine,,
dr,Aleksandra Pajović,,,
dr,Aleksandra Pantić,,,
Mr sci,Aleksandra Parojčić,neuropsiholog,,
dr,Aleksandra Petrović,,,
dr,Aleksandra Popović,internista,,
dr,Aleksandra Popović,doktor mediicne,,
dr,Aleksandra Radenković,spec. opšte medicine,,
dr,Aleksandra Radosavljević,oftalmolog,,
dr,Aleksandra Sekulić,anesteziolog,,
dr,Aleksandra Spasojević Živković,,,
dr,Aleksandra Stojanović,,,
dr,Aleksandra Tabakov,,,
dr,Aleksandra Tomić Pešić,neurolog,,
dr,Aleksandra Vasović,spec. urgentne medicine,,
dr,Aleksandra Živanić,,,
dr,Aleksandra Živković,kardiolog,,
dr,Aleksandra Živković,spec. pedijatrije,,
dr,Aleksandra Živković,,,
dr,Alma Krdžović Marjanović,dermatovenerolog,,
dr,Almasa Ikić,,,
dr,Almira Sebečevac,pedijatar,,
dr,Amir Peljto,spec. psihijatrije,,
